JudgeFullName,Summary
Yuzhe Tang,"Cyber-security and privacy; Systems security; Decentralized systems and blockchains; Cryptocurrencies and finance security; Applied formal methods and software testing; I am interested in the intersection between cybersecurity and systems. My research mission is to bring systems security and efficiency to large-scale, emerging/evolving infrastructures and applications. 1) On the cyber-security front, I am interested in applying formal methods, protocol analysis, automated program analysis, and software testing techniques to discover vulnerabilities, detect attacks, and design secure systems. I am also interested in the security-oriented measurement of large-scale systems. 2) On the systems front, I am interested in workload analysis, benchmarking, design of optimization schemes and middleware in various host systems.; My recent research focuses on decentralized systems like public blockchains. I tackle the systems security/efficiency challenges at different blockchain layers, including application-level DeFi protocol, smart contracts, down to the systems-level consensus implementations, P2P networking, and web3.0 infrastructures. I am particularly interested in discovering and fixing design flaws in blockchains and DeFi applications using formal methods. My recent research on blockchain mempool security is well-recognized in the Ethereum/blockchain developer community. Besides, I am developing and disseminating blockchain educational materials.; In the past, I worked on confidential computing, trusted execution environments, applied privacy-preserving protocols, and cloud security. | USENIX Security’24: “Understanding Ethereum Mempool Security under Asymmetric DoS by Symbolized Stateful Fuzzing”, Yibo Wang, Yuzhe Tang, Kai Li, Wanning Ding, Zhihua Yang.; WWW’24: “Characterizing Ethereum Upgradable Smart Contracts and Their Security Implications”, AR=20.2%, Xiaofan Li, Jin Yang, Jiaqi Chen, Yuzhe Tang, Xing Gao.; CCS’21: “DETER: Denial of Ethereum Txpool sERvices”, AR=22%, Kai Li, Yibo Wang, Yuzhe Tang.; NDSS’21: “As Strong As Its Weakest Link: How to Break (and Fix) Blockchain DApps at RPC Service”, AR=15.2%, Kai Li, Jiaqi Chen, Xianghong Liu, Yuzhe Tang, X. Wang, X. Luo.; IMC’21: “TopoShot: Uncovering Ethereum’s Network Topology Leveraging Replacement Transactions”, AR=28%, Kai Li, Yuzhe Tang, Jiaqi Chen, Yibo Wang, Xianghong Liu.; FSE’21: “iBatch: Saving Ethereum Fees via Secure and Cost-Effective Batching of Smart-Contract Invocations”, AR=24.5%, Yibo Wang, Qi Zhang, Kai Li, Yuzhe Tang, Jiaqi Chen, X. Luo, T. Chen. | 1. Technical Expertise:  Yuzhe Tang's expertise lies in decentralized systems, particularly blockchain technology (Ethereum). His methodologies involve systems security analysis, efficiency improvements at different blockchain layers, and the development of secure protocols.  He employs formal methods and likely uses simulation and modeling techniques to evaluate the security and performance of his proposed designs. His publications indicate use of  DoS defense mechanisms and P2P network security analyses.

2. Research Applications: His research directly applies to improving the security and efficiency of blockchain networks like Ethereum.  He has received grants specifically for research aimed at protecting the Ethereum network against attacks. While explicit patents aren't readily apparent from my searches, the practical application is significant and directly impacts the security of a major cryptocurrency platform.

3. Specialized Knowledge:  Yuzhe Tang possesses specialized knowledge in blockchain security, particularly focusing on Ethereum. He utilizes formal methods for verification and likely employs specialized software tools and simulation environments for analyzing blockchain systems.  His work suggests expertise in network security, distributed systems, and possibly cryptography.

4. Interdisciplinary Impact: His work bridges computer science (specifically distributed systems and security), economics (through considerations of economic security in blockchain systems), and potentially finance (given the focus on cryptocurrency and decentralized finance (DeFi)).  The funding sources (e.g., Ethereum Foundation) highlight the strong connection to the financial technology sector.

5. Active Projects:  Yuzhe Tang is actively involved in research projects funded by grants from the Ethereum Foundation and the National Science Foundation (NSF).  His current work focuses on enhancing the security of the Ethereum network.  Information suggests ongoing PhD student mentorship as part of his research program."
Svetoslava Todorova,"Transport, cycling, and bioaccumulation of metals in aquatic environments; Sustainable engineering practices in built and natural environments; Urban stormwater management; Smart sensing for monitoring water and air quality; Science for policy formation and effective implementation; One aspect of my research focuses on using field and analytical approaches to study the fate and transport of mercury in aquatic ecosystems and develop technologies to mitigate mercury contamination. I am also working on creating low-cost sensors and passive sampling methodologies to help disadvantaged and underfunded communities, as well as developing countries, monitor water and air quality.; My previous engineering practice included designing urban water infrastructure, landfills, and assessing contaminated sites. I was part of a team addressing contaminant issues from the Deepwater Horizon incident in the Gulf of Mexico in 2010. Additionally, I am involved in international policymaking related to the sound management of chemicals and wastes through the UNEP Minamata Convention on Mercury. | Yoshimura, K., Todorova, S., and Biddle, J. 2020. Mercury geochemistry and microbial diversity in meromictic Glacier Lake, Jamesville, NY. Environmental Microbiology Reports, 12(2): 195-202.; UN Environment, Chemicals Branch, Guidance Document on Management of Contaminated Sites, Geneva, Switzerland, July 2019, Report, contributing author; Todorova, S. Using Simulation as an Experiential Learning Tool for Enhancing Students Learning in Environmental Engineering. Proceedings of the 2019 IEEE Global Engineering Education Conference (EDUCON), p. 1412.; Todorov, D., Driscoll, C. T., Todorova, S., and Montesdeoca. 2018. Water quality function of an extensive vegetated and an impermeable, high-albedo roof. Science of the Total Environment 625: 928-939.; Martinez, G., McCord, S., Todorova, S., Driscoll, C.T., Wu, S., Araujo, J., Vega, C., and L. Fernandez. 2018. Mercury contamination in riverine sediments and fish associated with artisanal and small-scale gold mining in Madre de Dios, Peru. International Journal of Environmental Research and Public Health 15(8). | 1. Technical Expertise: Field and analytical approaches to study mercury fate and transport in aquatic ecosystems; biogeochemistry; development of low-cost sensors for environmental monitoring; use of zebra mussels as biomonitors of mercury contamination; analysis of mercury in riverine sediments and fish;  assessment of in-place concrete quality; study of  hydrologic performance of green roofs; analysis of primary production and respiration in lakes; investigation of zooplankton community changes and biodilution theory;  investigation of the effects of anoxia and sulfide on mercury concentrations.  Specific techniques mentioned include polymerase chain reaction (PCR), and various analytical chemistry methods for mercury speciation.

2. Research Applications: Development of technologies to address mercury contamination in aquatic ecosystems.  Research informs strategies for environmental remediation and monitoring,  and contributes to a better understanding of mercury bioaccumulation in food webs. While specific patents weren't readily found, her work directly contributes to technologies and methodologies applicable to environmental remediation and monitoring.

3. Specialized Knowledge: Expertise in metal biogeochemistry, sustainable infrastructure, and low-cost sensors for environmental monitoring.  Utilizes field sampling techniques combined with laboratory analysis.

4. Interdisciplinary Impact: Research connects civil and environmental engineering with environmental science, ecology, and potentially toxicology.  Work also has implications for sustainable infrastructure development and public health.

5. Active Projects:  While specific current grant details were not readily available from the online sources, her active involvement with the United Nations Environment Programme (UNEP) and ongoing research at Syracuse University indicate current research initiatives focused on mercury contamination, environmental monitoring, and sustainable infrastructure.  Her ResearchGate profile suggests active projects in aquatic ecosystems and mercury cycling."
John Trimmer,"Water and sanitation in resource-limited settings; Resource recovery from sanitation; Sustainability analysis of water, sanitation, and resource systems; Social-ecological systems; John Trimmer is an Assistant Teaching Professor in the Department of Civil and Environmental Engineering. He is interested in sustainable water and sanitation in resource-limited settings, as well as the possibilities associated with resource recovery from sanitation systems. He employs an interdisciplinary perspective to explore how these and other resource systems interact with economics, agriculture, ecology, and socio-cultural contexts to impact people and the environment. He has spent several years working on these topics throughout Africa, first as a Peace Corps Volunteer in Uganda and more recently in Nairobi, Kenya with The Aquaya Institute, a non-profit research organization focused on water, sanitation, and health. | Trimmer, J.T., Qureshi, H., Otoo, M., & Delaire, C. (2023). The enabling environment for citywide water service provision: Insights from six successful cities.PLOS Water, 2(6), e0000071.; Trimmer, J.T., Kisiangani, J., Peletz, R., Stuart, K., Antwi-Agyei, P., Albert, J., Khush, R., & Delaire, C. (2022). The Impact of Pro-Poor Sanitation Subsidies in Open Defecation-Free Communities: A Randomized, Controlled Trial in Rural Ghana.Environmental Health Perspectives, 130(6), 067004.; Li, Y., Trimmer, J.T., Hand, S., Zhang, X., Chambers, K.G., Lohman, H.A.C., Shi, R., Byrne, D.M., Cook, S.M., & Guest, J.S. (2022). Quantitative sustainable design (QSD) for the prioritization of research, development, and deployment of technologies: a tutorial and review. Environmental Science: Water Research and Technology, 8, 2439-2465.; Poulin, C., Trimmer, J.T., Press-Williams, J., Yachori, B., Khush, R., Peletz, R., & Delaire, C. (2022). Performance of a novel machine learning-based proxy means test in comparison to other methods for targeting pro-poor water subsidies in Ghana.Development Engineering, 7, 100098.; Echevarria, D., Trimmer, J.T., Cusick, R.D., & Guest, J.S. (2021). Defining Nutrient Colocation Typologies for Human-Derived Supply and Crop Demand to Advance Resource Recovery.Environmental Science & Technology,55(15), 10704–10713.; Trimmer, J.T., Byrne, D.M., Houser, S.A., Lohman, H.A.C., Jjuuko, F., Katende, D., Zerai, A., Banadda, N., Miller, D.C., & Guest, J.S. (2020). Navigating multidimensional social-ecological system tradeoffs across sanitation alternatives in an urban informal settlement.Environmental Science & Technology, 54(19), 12641-12653.; Trimmer, J.T., Miller, D.C., Byrne, D.M., Lohman, H.A.C., Banadda, N., Baylis, K., Cook, S.M., Cusick, R.D., Jjuuko, F., Margenot, A.J., Zerai, A., & Guest, J.S. (2020). Re-envisioning sanitation as a human-derived resource system.Environmental Science & Technology, 54(17), 10446-10459.; Trimmer, J.T., & Guest, J.S. (2020). GIVE: A framework of assumptions for constructive review feedback.Environmental Science & Technology, 54(19), 11648-11650.; Trimmer, J.T., Miller, D.C., & Guest, J.S. (2019). Resource recovery from sanitation to enhance ecosystem services.Nature Sustainability, 2(8), 681-690.; Trimmer, J.T., Margenot, A.J., Cusick, R.D., & Guest, J.S. (2019). Aligning product chemistry and soil context for agronomic reuse of human-derived resources.Environmental Science & Technology, 53(11), 6501-6510.; Trimmer, J.T., & Guest, J.S. (2018). Recirculation of human-derived nutrients from cities to agriculture across six continents.Nature Sustainability, 1, 427-435.; Trimmer, J.T., Cusick, R.D., & Guest, J.S. (2017). Amplifying progress toward multiple development goals through resource recovery from sanitation.Environmental Science & Technology, 51(18), 10765-10776.; Trimmer, J.T., Nakyanjo, N., Ssekubugu, R., Sklar, M., Mihelcic, J.R., & Ergas, S.J. (2016). Estimation ofAscaris lumbricoidesegg inactivation by free ammonia treatment of ash-amended UDDT vault products using stored urine in Uganda.Journal of Water Sanitation and Hygiene for Development, 6(2), 259-268.; Trimmer, J.T., Nakyanjo, N., Ssekubugu, R., Sklar, M., Mihelcic, J.R., & Ergas, S.J. (2016). Assessing the promotion of urine-diverting dry toilets through school-based demonstration facilities in Kalisizo, Uganda.Journal of Water Sanitation and Hygiene for Development, 6(2), 276-286. | 1. **Technical Expertise:** John Trimmer's expertise lies in sustainable water and sanitation, with a focus on sanitation and resource recovery, particularly in developing contexts. His methodologies include quantitative sustainable design (QSD) for technology research, development, and deployment, as well as the application of machine learning for proxy means testing (e.g., targeting pro-poor water subsidies).  His research often involves analyzing social and technical aspects of sanitation systems.

2. **Research Applications:** His research has practical applications in improving sanitation infrastructure and resource management in developing countries.  While specific patents are not readily apparent from the initial search, his work contributes to the development and improvement of sustainable sanitation technologies and resource recovery systems, potentially leading to future patentable innovations.  His work on proxy means testing has direct applications in improving the targeting of water subsidies.

3. **Specialized Knowledge:**  He possesses specialized knowledge in ecological sanitation, particularly urine-diverting dry toilets. His expertise extends to the analysis and design of human-derived nutrient systems for sustainable agriculture, encompassing aspects of nutrient management and resource recovery.  His application of machine learning to complex societal problems like water access displays a unique technical approach.

4. **Interdisciplinary Impact:** His research bridges civil and environmental engineering, public health, agricultural science, and economics.  His work on resource recovery from sanitation intersects with ecological engineering and sustainability science. The application of machine learning demonstrates a strong interdisciplinary link to computer science and data analysis.

5. **Active Projects:**  While specific details on current funding grants and project titles are limited, his current affiliation with Syracuse University's Department of Civil and Environmental Engineering and ongoing publications suggest active involvement in research related to sustainable water and sanitation, human-derived nutrient systems, and the development and improvement of sanitation technologies in diverse contexts.  Further investigation into Syracuse University’s grant databases would be needed to fully detail active projects."
Yoko Urao," |  | 1. Technical Expertise: Cognitive Behavioral Therapy (CBT),  quasi-experimental study designs,  program development and evaluation,  school-based interventions, anxiety prevention in children.

2. Research Applications: Development and implementation of the ""Journey of the Brave"" CBT-based anxiety prevention program for children.  Research focuses on evaluating program effectiveness and feasibility, including e-learning adaptations. No patents explicitly mentioned in readily available sources.

3. Specialized Knowledge: Expertise in adapting CBT principles for school-based settings,  developing short-format interventions,  measuring anxiety levels and related psychological constructs in children.

4. Interdisciplinary Impact:  The research has clear connections to psychology (clinical psychology, child psychology), education (school-based interventions), and potentially public health (prevention programs).

5. Active Projects: Research on the ""Journey of the Brave"" program continues, including studies on the program's effectiveness, feasibility of e-learning adaptations, and exploration of the program's efficacy in different contexts and populations.  Specific ongoing grant information may require accessing databases like Grants.gov or similar resources (not accessible with the provided tools)."
William E. VanNordstrand," |  | 1. **Technical Expertise:** Dr. Van Nostrand's research methodologies involve studying the vascular-mediated aspects of cognitive impairment and dementia, particularly in Alzheimer's disease and related disorders (ADRD). His work utilizes techniques such as protein-protein interaction studies, in vitro cell culture, and potentially in vivo magnetic resonance imaging (MRI) based on mentions in his lab's research.  He has a strong background in characterizing amyloid precursor proteins.

2. **Research Applications:**  Dr. Van Nostrand's research aims to understand the pathogenic mechanisms in neurodegenerative diseases.  His work has led to several patents, though the specifics of these patents require further investigation beyond the current search results, which only mention their existence without details.  Practical applications are aimed at developing methods of inhibiting cerebral amyloid angiopathy and treating related disease states.

3. **Specialized Knowledge:**  Dr. Van Nostrand's expertise lies in the purification and characterization of amyloid precursor proteins, a crucial area in Alzheimer's research. His lab uses techniques to study basic protein-protein interactions. He likely has access to specialized equipment for cell culture, protein analysis, and possibly advanced imaging techniques, although this is not explicitly stated.

4. **Interdisciplinary Impact:**  Dr. Van Nostrand's research connects several disciplines, including neuroscience, biochemistry, and potentially biomedical engineering (based on potential application of peptide amphiphiles and imaging techniques).

5. **Active Projects:**  The specifics of current research initiatives and grants require further investigation beyond the currently available search results.  However, his lab's website and other sources indicate ongoing research into Alzheimer's disease and related disorders, including the role of copper in cerebral amyloid angiopathy and perivascular space pathology.  Information on specific grant numbers and funding sources needs to be further researched from more reliable sources than the current search results."
Pramod K. Varshney,"Distributed sensor networks and data fusion; Statistical inference; Wireless communications; Signal processing; Machine learning; Human-machine teaming; My research addresses fundamental questions in statistics-based signal processing, data/information fusion, sensor data processing, data analytics, machine learning and AI. My research has been generously funded for over four decades by Department of Defense, NSF, ARPA-E, EPA and many companies. Starting in the early 1980s, I have pioneered the area of data/information fusion and inference in sensor networks. While a lot of my work has been inspired by Department of Defense applications, I have also applied my research results to a wide variety of non-defense applications including IoT and health-related applications. For example, I have worked on imaging for breast cancer detection, and methods for more accurate Alzheimer disease detection. My current research includes detection and tracking, secure inference in distributed sensing systems, human-machine teaming for inference, and information fusion. |  | 1. **Technical Expertise:**  Pramod K. Varshney's expertise spans statistics-based signal processing, data/information fusion, sensor data processing, data analytics, machine learning, distributed sensor networks, detection and estimation theory, and wireless communications.  His research methodologies include the application of copulas in decision-making problems, stochastic zeroth-order optimization, and various signal processing and data fusion techniques.

2. **Research Applications:**  Professor Varshney's research has applications in national security, wireless image transmission (as evidenced by patents), wireless mesh networks (with work on QoS support and utilization-based traffic throttling), and potentially medical imaging (implied by his adjunct professorship in radiology).  Specific patent details require further investigation of the listed patents.

3. **Specialized Knowledge:**  He uses specialized knowledge in distributed inference and information fusion.  His research group utilizes copulas in decision-making problems. While specific equipment isn't explicitly mentioned, his work suggests he utilizes various signal processing and data analysis software and hardware, likely within a research lab setting.

4. **Interdisciplinary Impact:** His work connects electrical engineering and computer science with other fields like national security, medicine (through his adjunct position in radiology), and potentially other areas depending on the specifics of his patents and research grants.

5. **Active Projects:**  The specifics of current research initiatives and grants require further investigation of links provided during the search. However, his Syracuse University profile mentions ongoing work, and his NSF grants record indicates involvement in projects related to sparse optimization in large-scale data and a Cyber Physical System Research and Education Laboratory.  The exact titles and funding amounts of several projects can be found via direct access to his university profile and other resources from the search results."
Gabriela Vásquez Jiménez, |  | Error occurred while processing
Stephanie Vasta," |  | Insufficient information is available online to create a comprehensive technical profile of Stephanie Vasta's research expertise.  The searches conducted did not reveal a researcher by that name with a significant online presence detailing their methodologies, techniques, projects, or patents.  The most prominent individual with that name appears to be an executive assistant at Syracuse University."
Senem Velipasalar,"Machine Learning; Computer Vision; Wireless Smart Camera Networks; Mobile camera applications; Signal Processing; Prof. Velipasalar’s primary areas of research are machine learning and computer vision. More specifically, her research has focused on human activity classification and fall detection from egocentric cameras, and applications of machine learning to (i) thermal anomaly detection from UAV-mounted infrared cameras, (ii) driver behavior analysis from in-vehicle mounted cameras, (iii) 3D object detection, (iv) person detection from video data, (v) analysis of functional near infrared spectroscopy (fNIRS) data, (vi) dynamic multi-channel access, and (vii) defense against adversarial jamming attacks. | (Please visithttps://ecs.syr.edu/faculty/velipasalar/for a complete list) | 1. **Technical Expertise:**  Senem Velipasalar's research focuses on machine learning, computer vision, embedded systems, and smart cameras.  Specific methodologies include embedded computer vision, video/image processing, distributed multi-camera systems, pattern recognition, and deep reinforcement learning.  Her work involves developing low-power, privacy-preserving sensor platforms.

2. **Research Applications:**  Her research has practical applications in areas such as room occupancy detection (resulting in a granted patent), pedestrian detection using thermal cameras, and surveillance systems.  She has at least one patent related to automatic detection using wearable cameras and another for a low-power, privacy-preserving sensor platform for occupancy detection.  Further patent information can likely be found by directly accessing her university page or through patent databases.

3. **Specialized Knowledge:**  She utilizes specialized equipment and tools related to embedded systems, smart cameras,  and sensor platforms (including visible-range cameras, thermopile arrays, microphones, and motion sensors). Her expertise lies in designing low-cost, high-accuracy sensor systems for specific applications.

4. **Interdisciplinary Impact:**  Her work bridges Electrical Engineering and Computer Science with fields like  human activity recognition,  and potentially environmental monitoring (through occupancy detection).  The low-power aspects of her sensor platforms suggest a connection to sustainable technology.

5. **Active Projects:** Specific details on current research initiatives and grants are not readily available from the initial search results, but her university profile and publications list should provide further information.  One example mentioned was collaboration on developing a low-cost, high-accuracy sensor platform for human presence detection.  Her Google Scholar profile will offer additional information on her current work and funding."
Kelly Venturini," |  | Insufficient data to create a technical expertise profile. The provided links show Kelly Venturini's role at Syracuse University is in development and advancement, not research.  There is no evidence of research methodologies, techniques, patents, funding, or projects associated with their name."
Joseph J. Waclawski,"Software Engineering Process; System/Software Modeling in SYSML/UML; Object Oriented Design and Development; I have been a Software Developer, Software Integrator, Systems Integrator, Lead Software Engineer, Software Project Manager and Software Functional Manager at various technology companies over the past 37 years, including General Electric, Lockheed Martin, and Sensis (now SAAB). My work at these companies spans the complete product life cycle. I started my career performing Systems/Hardware integration and test for one of the largest RADAR systems every developed, but have focused on Software Engineering for the past 30 years. I have been teaching at the College level for the past 23 years; 20 of these years at Syracuse University. I am a certified Lead Software Engineer and was previously a Software Manager at Lockheed Martin. I have earned my certification in Professional Scrum Product Owner I from scrum.org. While I have been primarily focused on industry, my real passion is teaching and mentoring our future generation of engineers. |  | 1. Technical Expertise: Software Engineering Process; System/Software Modeling in SYSML/UML; Object-Oriented Design and Development.

2. Research Applications:  No specific research applications or patents are readily available from public sources.

3. Specialized Knowledge: No unique tools or approaches are specified in publicly available information.

4. Interdisciplinary Impact: No specific interdisciplinary connections are detailed in publicly available resources.

5. Active Projects: No current research initiatives or grants are listed in publicly accessible information."
Theodore Walker,"Heterogeneous Catalysis; Reaction Kinetics and microkinetic analysis; Experimental Determination of Reaction Mechanisms; Advanced liquid- and solid-state NMR spectroscopy; Solvent Effects in Liquid-Phase Catalytic Processes; Biomass conversion to renewable energy and chemicals; Complex plastic waste recycling; The Walker lab studies the fundamental, mechanistic details underlying heterogeneously catalyzed reactions of biomass, waste plastics, and other sources of non-fossil-based organic carbon for renewable fuels and chemicals production. We leverage our group’s strengths in solvent effects, advanced spectroscopic methods, and materials synthesis to develop novel catalysts that enable atom-efficient conversion of renewable feedstocks into fungible products while resisting deactivation by poisons.; Our experimental approach combines catalyst synthesis, characterization, and reaction kinetics measurements. We collaborate extensively with theorists to combine our experimental measurements with quantum-chemical and/or molecular dynamics simulations, toward a comprehensive understanding of the fundamental bases by which catalysts transform raw materials into products. Current research topics include:; Alkali-metal-resistant, bi-functional metal and acid catalysts for hydropyrolysis of waste plastics and biomass; Grafting of polymer brushes onto support catalysts to direct selectivity and mitigate deactivation by poisons in liquid-phase processing of renewable oxygenates; Electrochemical production of renewable polymers precursors and other platform molecules | Walker, Theodore W., et al. “Recycling of multilayer plastic packaging materials by solvent-targeted recovery and precipitation.”Science advances6.47 (2020): eaba7599.; Walker, Theodore W., et al. “Solid-state NMR studies of solvent-mediated, acid-catalyzed woody biomass pretreatment for enzymatic conversion of residual cellulose.”ACS sustainable chemistry & engineering8.16 (2020): 6551-6563.; Walker, Theodore W., et al. “Universal kinetic solvent effects in acid-catalyzed reactions of biomass-derived oxygenates.”Energy & Environmental Science11.3 (2018): 617-628.; Walker, Theodore W., et al. “Fundamental catalytic challenges to design improved biomass conversion technologies.”Journal of Catalysis369 (2019): 518-525.; Walker, Theodore W., et al. “Rational design of mixed solvent systems for acid-catalyzed biomass conversion processes using a combined experimental, molecular dynamics and machine learning approach.”Topics in Catalysis63.7 (2020): 649-663. | 1. Technical Expertise:  Heterogeneous catalysis, biomass conversion, waste plastic upcycling, solid-state NMR, mechanistic studies of catalytic reactions, renewable energy technologies, catalyst design and development.

2. Research Applications:  Development of new catalysts for converting biomass and waste plastics into valuable chemicals and fuels; contributing to renewable energy solutions; improving the efficiency and sustainability of chemical processes.  Patents information is not readily available from the sources consulted, but further investigation using patent databases may reveal relevant filings.

3. Specialized Knowledge:  Expertise in solid-state NMR spectroscopy for characterizing catalysts and reaction intermediates;  focus on fundamental mechanistic understanding of catalytic reactions;  experience working with biomass and waste plastics as feedstocks. Specific equipment used is not detailed, but it can be inferred that his lab uses advanced characterization tools such as NMR spectrometers and potentially other instruments for catalyst synthesis and testing.

4. Interdisciplinary Impact:  His research bridges chemical engineering, materials science, and environmental science. The applications of his work extend into energy production and sustainable chemistry.

5. Active Projects:  Currently working on the design and development of novel catalysts for renewable energy applications, likely involving biomass conversion and plastic upcycling. Specific details of ongoing projects and funding sources are not comprehensively available without access to his university research portal and grant databases which are beyond the scope of my current tools.  His Google Scholar profile lists recent publications, and these provide the clearest insight into current research."
Li Wang," |  | Insufficient information provided to identify a unique Li Wang and create a comprehensive technical expertise profile.  Please provide additional details such as university affiliation, specific research area, or a more precise identifier."
Yeqing Wang,"Mechanics of composite materials and structures; Durability and damage tolerance of composite structures; Multifunctional composite materials; Advanced manufacturing of composite materials; Multiphysics modeling; Dr. Wang’s research goal is to understand the fundamental material behaviors and failure mechanisms of composite materials and structures under various loading conditions through mathematical modeling and experimental investigations, and then use the insights acquired to guide the design and development of novel multifunctional composite materials and structures (e.g., nanostructured, bioinspired) for improved durability and damage tolerance, as well as to guide the development and optimization of advanced manufacturing methods of composite structures. |  | 1. Technical Expertise: Multiphysics analysis, mechanics of composite materials and structures, advanced multifunctional composites, bio-inspired composites, laser machining of composites, damage tolerance, hypersonic re-entry ablation problems, directed energy deposition, additive manufacturing.  Methodologies include experimental testing, finite element analysis (FEA), and computational modeling.

2. Research Applications:  Research focuses on improving the performance and durability of composite materials for aerospace applications, potentially leading to lighter, stronger, and more efficient aircraft and spacecraft. While specific patents weren't readily apparent from the initial search, the research has clear implications for advancements in aerospace technology.

3. Specialized Knowledge: Expertise in multiphysics analysis of aerospace materials under extreme conditions, including high temperatures and pressures.  Likely utilizes specialized equipment for material testing (e.g., tensile testing machines, fatigue testing machines), computational resources for FEA, and potentially laser machining equipment.

4. Interdisciplinary Impact: Research connects mechanical and aerospace engineering with materials science, potentially also with biomimicry (bio-inspired composites).  The work on directed energy deposition suggests connections to additive manufacturing and potentially laser processing fields.

5. Active Projects:  Currently an Assistant Professor at Syracuse University, actively involved in research projects related to composite materials and structures, funded through grants (details not explicitly found in initial searches but likely detailed in university publications or grant databases).  He has received the Google Research Scholar Award (2022) and a Distinguished Paper Award.  Further investigation into Syracuse University's research funding databases would provide specifics on ongoing projects and grants."
Yaoying Wu,"Synthetic Biomaterials; Peptide Assembly; Vaccine Design; Immunoengineering; The immune system is essential for many aspects of human health, such as, infections, autoimmune conditions, malignancies, and tissue regenerations. While the generations of immune responses are complicated processes that involves wide range of molecular and cellular interactions, many key aspects crucial for protective immune responses have been recently revealed, generating enormous opportunities for therapeutic interventions to greatly improve patient health. Various immune engineering strategies based on biomaterial platforms have shown promise in facilitating immunogenic materials trafficking, modulating cellular interactions, and more. My previous work has also demonstrated several approaches to engineer coordinated cellular and humoral immune responses for augmenting therapeutic responses. The research of our team at Syracuse is aimed at designing biomaterials strategies to delivering molecular stimuli in a temporal and spatial fashion for regulating immune functions. We are particularly interested in harnessing humoral immune responses for therapeutic purpose by regulating the cellular process involved. | •             Wu Y, Wen H, Bernstein Z, Blakney T, Congdon K, Sampson JH, Sanchez-Perez L, Collier JH, Multi-epitope supramolecular peptide nanofibers eliciting coordinated humoral and cellular antitumor immune responses, Science Advances, 2022 8, eabm7833; •             Wu Y, Kelly SH, Sanchez-Perez L, Sampson JH, Collier JH, Comparative study of α-helical and β-sheet self-assembled peptide nanofiber vaccine platforms: Influence of integrated T-cell epitopes, Biomaterial Science, 2020, 8, 3522; •             Fries CN, Wu Y, Kelly SH, Wolf M, Votaw NL, Zauscher S, Collier JH, Controlled lengthwise assembly of helical peptide nanofibers to modulate CD8+ T cell responses, Advanced Materials, 2020, 32, 2003310; •             Kelly SH, Wu Y, Varadhan AK, Curvino EJ, Chong AS, Collier JH, Enabling Sublingual Peptide Immunization Using Molecular Self-assemblies, Biomaterials, 2020, 241, 119903; •             Nelson CE, Wu Y, Gemberling MP, Oliver ML, Waller MA, Bohning JD, Robinson-Hamm JN, Bulaklak K, Castellanos Rivera RM, Collier JH, Asokan A, Gersbach CA, Long-term Evaluation of AAV-CRISPR Genome Editing for Duchenne Muscular Dystrophy, Nature Medicine, 2019, 25, 427; •             Wu Y, Norberg PK, Reap EA, Congdon K, Fries C, Kelly SH, Sampson JH, Conticello VP, Collier JH, A supramolecular vaccine platform based on α-helical peptide nanofibers, ACS Biomaterials Science & Engineering, 2017, 3(12), 3128; •             Wu Y, Smith AE, Reineke TM, Lipophilic polycation vehicles display high plasmid DNA delivery to multiple cell types, Bioconjugate Chemistry, 2017, 28, 2035 | 1. **Technical Expertise:**  Yaoying Wu's expertise lies in biomaterials, immunoengineering, immunotherapy, biomedical engineering, peptide assembly, and vaccine design.  Her methodologies include the design and synthesis of biomaterials (specifically peptide nanofibers), molecular assembly techniques, and strategies to modulate immune responses.  Her research utilizes techniques for characterizing biomaterials and evaluating immune responses.

2. **Research Applications:** Dr. Wu's research has practical applications in vaccine design and development, particularly for cancer immunotherapy. Her work on self-adjuvanting peptide nanofibers has resulted in patents (e.g., US11246924B2), showcasing the translation of her research into tangible technologies.  These peptide nanofibers aim to enhance vaccine efficacy by eliciting coordinated humoral and cellular antitumor immune responses.

3. **Specialized Knowledge:** Dr. Wu's unique expertise lies in the design and utilization of helical peptide nanofibers as biomaterials for immunotherapy. This involves a deep understanding of peptide self-assembly, control over nanofiber structure, and the ability to engineer these structures for specific immune modulation.  She collaborates with researchers with expertise in different areas to further develop applications of these materials.

4. **Interdisciplinary Impact:** Her research bridges biomedical engineering, immunology, materials science, and potentially chemistry. The design and application of her biomaterials require knowledge of chemistry for synthesis, materials science for characterization, immunology for immune response evaluation, and biomedical engineering for application in therapeutics.

5. **Active Projects:** Dr. Wu is currently an Assistant Professor at Syracuse University, leading the Immune Engineering Research Team.  Her current research initiatives focus on designing biomaterials strategies to harness immune responses for therapeutics, as evidenced by ongoing publications and her team's website.  While specific grants aren't explicitly listed in easily accessible sources, her position and research output suggest active funding from research grants.  Further investigation into Syracuse University's research funding database might yield more precise information."
